date ; heatTime ; coolTime
7-5-2014 ; 0 ; 0
7-6-2014 ; 0 ; 0
7-7-2014 ; 0 ; 0
7-8-2014 ; 0 ; 0
7-9-2014 ; 0 ; 0
7-10-2014 ; 0 ; 0
7-11-2014 ; 0 ; 0
7-12-2014 ; 0 ; 0
7-13-2014 ; 0 ; 0
7-14-2014 ; 0 ; 0
7-15-2014 ; 0 ; 0
7-16-2014 ; 0 ; 0
7-17-2014 ; 0 ; 0
7-18-2014 ; 0 ; 0
7-19-2014 ; 0 ; 0
7-20-2014 ; 0 ; 0
7-21-2014 ; 0 ; 0
7-22-2014 ; 0 ; 0
7-23-2014 ; 0 ; 0
7-24-2014 ; 0 ; 0
7-25-2014 ; 0 ; 15142
7-26-2014 ; 0 ; 0
7-27-2014 ; 0 ; 0
7-28-2014 ; 0 ; 0
7-29-2014 ; 0 ; 0
7-30-2014 ; 0 ; 0
7-31-2014 ; 0 ; 0
8-1-2014 ; 0 ; 19539
8-2-2014 ; 0 ; 0
8-3-2014 ; 0 ; 0
8-4-2014 ; 0 ; 0
8-5-2014 ; 0 ; 0
8-6-2014 ; 0 ; 0
8-7-2014 ; 0 ; 0
8-8-2014 ; 0 ; 0
8-9-2014 ; 0 ; 0
8-10-2014 ; 0 ; 0
8-11-2014 ; 0 ; 0
8-12-2014 ; 0 ; 0
8-13-2014 ; 0 ; 0
8-14-2014 ; 0 ; 0
8-15-2014 ; 0 ; 0
8-16-2014 ; 0 ; 0
8-17-2014 ; 0 ; 0
8-18-2014 ; 0 ; 0
8-19-2014 ; 0 ; 0
8-20-2014 ; 0 ; 0
8-21-2014 ; 0 ; 0
8-22-2014 ; 0 ; 0
8-23-2014 ; 0 ; 0
8-24-2014 ; 0 ; 0
8-25-2014 ; 0 ; 0
8-26-2014 ; 0 ; 0
8-27-2014 ; 0 ; 0
8-28-2014 ; 0 ; 0
8-29-2014 ; 0 ; 0
8-30-2014 ; 0 ; 0
8-31-2014 ; 0 ; 0
